Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Jonathan C McDowell,"['Harvard-Smithsonian Center for Astrophysics', '60 Garden St', 'Cambridge', 'Massachusetts (MA)', 'United States']"
Elizabeth J McGrath,"['Colby College', 'Physics and Astronomy', '5861 Mayflower Hill Dr', 'Waterville 04901', 'Maine (ME)', 'United States']"
Paul W McNamara,"['European Space Agency', 'Scientific Support Office', 'Keplerlaan 1', '2200AG Noordwijk', 'Netherlands']"
Matthew McQuinn,"['University of Washington', 'Astronomy', '3910 15th Ave NE', 'Rm C321', 'Seattle 98195-0002', 'Washington (WA)', 'United States']"
Simona Mei,"['LERMA - Observatoire de Paris', '77, Avenue Denfert-Rochereau', 'Paris', 'France']"
Anne-Laure Melchior,"['Observatoire de Paris', 'LERMA', ""77, avenue de l'Observatoire"", '75014 Paris', 'France']"
Bohdan Melekh,"['Ivan Franko National University of Lviv', '8, Kyrylo and Mefodij St.', 'Lviv 79005', 'Ukraine']"
Marcio B Melendez,"['Space Telescope Science Institute', 'Instruments Division', '3700 San Martin Drive', 'Baltimore 21218', 'Maryland (MD)', 'United States']"
Athina Meli,"['University of Gent', 'Dept. of Physics and Astronomy', 'Gent', 'Belgium']"
Tiago M. D. Pereira,"['University of Oslo', 'Institute for Teoretical Astrophysics', 'P.O. Box 1029 Blindern', '0315 Oslo', 'Norway']"
Hugo G Messias,"['Universidade de Lisboa', 'Instituto de Astrofísica e Ciências do Espaço', 'OAL, Tapada da Ajuda', '1349-018 Lisboa', 'Portugal']"
Hayman Metwally,"['Faculty of science - cairo university', 'astronomy', 'astronomy dep. faculty of science cairo univ.', 'Giza', 'Egypt']"
Gerhardt Meurer,"['University of Western Australia', 'International Centre for Radio Astronomy Research', 'M468, 35 Stirling Highway', 'Crawley 6009', 'Western Australia (WA)', 'Australia']"
Nicole Meyer-Vernet,"['Observatoire de Paris, CNRS', 'LESIA', 'Place Janssen', '92195 Cedex Meudon', 'France']"
Elisabetta Micelotta,"['University of Helsinki', 'Department of Physics', 'Physicum, Kumpula campus', 'Gustaf Hällströmin katu 2a', 'FI-00560 Helsinki', 'Finland']"
Marco Micheli,"['ESA NEO Coordination Centre', 'Largo Galileo Galilei, 1', '00044 Frascati (RM)', 'Italy']"
Oskari Samuel Miettinen,"['Faculty of Science, University of Zagreb', 'Department of Physics', 'Bijenicka cesta 32', 'HR 10000 Zagreb', 'Croatia, the Republic of']"
Byeong-Hee MIHN,"['Korea Astronomy and Space Science Institute', 'Center for Historical Astronomy', '776, Daeduk-daero Yuseong-gu', 'Daejeon 305348', 'Korea, Rep of']"
Ivan Milić,"['Astronomical Observatory', 'Volgina 7', '11060 Belgrade', 'Serbia, Republic of']"
Slaviša Milisavljević,"['Faculty of Mathematics University of Belgrade', 'Studentski trg 16', '11000 Belgrade', 'Serbia, Republic of']"
Marcelo Miguel Miller Bertolami,"['Instituto de Astrofisica de La Plata (UNLP-CONICET)', 'Paseo del Bosque s/n', 'La Plata B1900FWA', 'Buenos Aires', 'Argentina']"
Elisabeth A.C. Mills,"['NRAO', 'Array Operations Center', 'P.O. Box O', '1003 Lopezville Rd', 'Socorro 87801-0387', 'New Mexico (NM)', 'United States']"
José Pedro Mimoso,"['Faculty of Science, University of Lisboa', 'Physics Department', 'Faculdade de Ciencias', 'Edifício C8, Campo Grande', 'P-1749-016 Lisboa', 'Portugal']"
Ivan Minchev,"['Leibniz-Institut für Astrophysik Potsdam (AIP)', 'An der Sternwarte 16', '14482 Potsdam', 'Germany']"
Amy Jo Mioduszewski,"['National Radio Astronomy Observatory', 'Scientific User Support', 'P.O. Box O', '1003 Lopezville Road', 'Socorro 87801', 'New Mexico (NM)', 'United States']"
Halime Miraghaei,"['University of Maragheh', 'Research Institute for Astronomy & Astrophysics of Maragha (RIAAM)', 'Dehghan st.,', 'Maragheh, PO Box 55134-441', 'Iran, Islamic Rep of']"
Ranjeev Misra,"['IUCAA', 'Ganeshkind', 'Pune Univ. Campus', 'Pune 411007', 'Maharashtra', 'India']"
Yusuke MIYAMOTO,"['Ibaraki University', 'Center for Astronomy', '2-1-1 Bunkyo, Mito-shi', 'Ibaraki 310-8512', 'Kanto', 'Japan']"
Akira MIZUTA,"['RIKEN', 'Computational Astrophysics Laboratory', '2-1 Hirosawa, Wako-shi', 'Saitama 351-0198', 'Kanto', 'Japan']"
Ahmed Essam Mohamed,"['National Res. Inst. of Astronomy and Geophysics', 'Astronomy', 'El-Marsad Stree. Helwan - Cairo, Egypt', 'Helwan, Cairo 11421 Helwan, Egypt', 'Egypt']"
Shazrene S. Mohamed,"['South African Astronomical Observatory', 'Observatory Road', 'P O Box 9', '7935 Cape Town', 'South Africa']"
Dan Nelu - Moldovan,"['Astronomic Institute of the Romanian Academy', 'Astronomical Observatory of Cluj-Napoca', 'Str.Ciresilor nr.19', '400487 Cluj-Napoca', 'Romania']"
Sergio Molinari,"['Istituto Nazionale di Astrofisica', 'Istituto di Astrofisica e Planetologia Spaziale', 'Via Fosso del Cavaliere 100', '00133 Rome', 'Italy']"
Marco Molinaro,"['INAF - Istituto Nazionale di AstroFisica', 'OATs - Osservatorio Astronomico di Trieste', 'via G.B. Tiepolo, 11', '34011 Trieste', 'Italy']"
László Molnar,"['Research Centre for Astronomy and Earth Sciences', 'Konkoly Observatory', 'Konkoly Thege Miklós út 15-17.', '1121 Budapest', 'Hungary']"
Javier Antonio Montoya Martínez,"['Universidad de Cartagena', 'Instituto de Matemáticas Aplicadas', 'Calle de la Universidad # 36 -100', 'Cartagena 130001', 'Colombia']"
Dae-Sik Moon,"['University of Toronto', 'Department of Astronomy and Astrophysics', '50 St. George Street', 'Toronto M5S 3H4', 'Ontario (ON)', 'Canada']"
Patrick Moriarty,"['National University of Ireland Galway', 'School of Physics', 'University Road', 'GALWAY', 'Ireland']"
Julien Morin,"['Universite de Montpellier', 'LUPM - UMR5299', 'Place E. Bataillon - CC 072', '34095 Montpellier cedex 05', 'France']"
Christophe Morisset,"['Universidad Nacionla Autonoma de Mexico', 'Instituto de Astronomia', 'Apartado Postal 70-264', 'Mexico D. F. 04510', 'Mexico']"
Amaya Moro Martín,"['Space Telescope Science Institute', '3700 San Martin Dr', 'Baltimore MD 21218', 'Maryland (MD)', 'United States']"
Jon A Morse,"['BoldlyGo Enterprises, LLC', '210 Park Avenue, Suite 273', 'Worcester', 'Massachusetts (MA)', 'United States']"
Sharon M Morsink,"['University of Alberta', 'Department of Physics', '4-183 CCIS', '11455 Saskatchewan Drive', 'Edmonton T6G 2E1', 'Alberta (AB)', 'Canada']"
Richard J Morton,"['Northumbria University', 'Mathematics and Information Science', 'Pandon Building', 'Camden Street', 'Newcastle upon Tyne NE1 8ST', 'Tyne & Wear', 'United Kingdom']"
Moein Mosleh,"['Shiraz University', 'Biruni Observatory & Department of Physics', 'Biruni Observatory', 'Shiraz University, Eram Square.', '71454 Shiraz', 'Iran, Islamic Rep of']"
Kazutaka MOTOYAMA,"['National Institute of Informatics', 'Academic Authentication System Office', '2-1-2 Hitotsubashi, Chiyoda-ku', 'Tokyo 101-8430', 'Kanto', 'Japan']"
Tigran Movsessian,"['Byurakan Astrophysical Observatory', 'Laboratory of 2.6m telescope', 'Antarain str. 46', '0009 Yerevan', 'Armenia']"
Seyyed Mohammad - Mozaffari,"['Research Institute for Astronomy and Astrophysics of Maragha', 'History of Astronomy', 'Vali Asr town, Maragha', '55177-36698 Maragha', 'Iran, Islamic Rep of']"
Tony Mroczkowski,"['European Southern Observatory', 'Directorate for Science', 'Karl-Schwarzschild-Str. 2', '85748 Garching bei München', 'Germany']"
Alessio Mucciarelli,"['University of Bologna', 'Department of Physics & Astronomy', 'viale Berti Pichat 6/2', '40127 Bologna', 'Italy']"
Guido Mueller,"['University of Florida', 'Department of Physics', '2001 Museum Road', 'Gainesville 32611-8440', 'Florida (FL)', 'United States']"
Michael Müller,"['Rijkuniversiteit Groningen', 'Kapteyn Astronomical Institute', 'Postbus 800', '9700AV Groningen', 'Netherlands']"
August Muench,"['American Astronomical Society', 'Journals Division', '1667 K Street NW', 'Suite 800', 'Washington 20006', 'D.C.', 'United States']"
Stuart I. Muldrew,"['United Kingdom Atomic Energy Authority', 'Culham Centre for Fusion Energy', 'Culham Science Centre', 'Abingdon OX14 3DB', 'Oxfordshire', 'United Kingdom']"
Jeffrey A Munn,"['U.S. Naval Observatory', 'Flagstaff Station', '10391 W. Naval Observatory Road', 'Flagstaff', 'Arizona (AZ)', 'United States']"
Juan Carlos Muñoz Cuartas,"['Universidad de Antioquia', 'Instituto de Fisica', 'Calle 67 No. 53-108 Bloque 6, Of. 6-233', 'Medellin N/A', 'Colombia']"
Teodoro Muñoz Darias,"['Instituto de Astrofísica de Canarias', 'Calle Via Láctea  s/n', 'La Laguna, Tenerife', 'Spain']"
Judit Muraközy,"['Research Centre for Astronomy and Earth Sciences', 'Heliophysical Observatory', 'P.O.B. 30', 'H-4010 Debrecen', 'Hungary']"
Simon J. Murphy,"['Australian National University', 'Mount Stromlo Observatory', 'Cotter Road', 'Weston Creek', 'Canberra 2611', 'Australian Capital Territory (ACT)', 'Australia']"
Nicholas A Murphy,"['Smithsonian Astrophysical Observatory', 'High Energy Astrophysics Division', '60 Garden St. MS 83', 'Cambridge 02138', 'Massachusetts (MA)', 'United States']"
Norman W Murray,"['University of Toronto', 'Canadian Institute for Theoretical Astrophysics', '60 St. George St.', 'Toronto M5S 3H8', 'Ontario (ON)', 'Canada']"
Shaig Nabiyev,"['Arizona State University', 'School of Earth and Space Exploration', '1150 East University Drive', 'Tempe AZ 85281', 'Arizona (AZ)', 'United States']"
Daisuke Nagai,"['Yale University', 'Physics', '260 Whitney Avenue', 'New Haven 06520', 'Connecticut (CT)', 'United States']"
Hiroshi NAGAI,"['National Astronomical Observatory of Japan', 'Chile Observatory', '2-21-1 Osawa, Mitaka-shi', 'Tokyo 181-8588', 'Kanto', 'Japan']"
Makoto NAGAI,"['National Astronomical Observatory of Japan', 'Advanced Technology Center', '2-21-1 Osawa, Mitaka', 'Tokyo 181-8588', 'Kanto', 'Japan']"
Takahiro NAGAYAMA,"['Kagoshima University', 'Department of Physics and Astronomy', '1-21-35 Korimoto, Kagoshima-shi', 'Kagoshima 890-0065', 'Kyushu-Okinawa', 'Japan']"
Erick Nagel,"['University of Guanajuato', 'Department of Astronomy', 'Callejon de Jalisco S/N', 'Valenciana', 'Guanajuato', 'Mexico']"
Sachindra Naik,"['PHYSICAL RESEARCH LABORATORY', 'ASTRONOMY AND ASTROPHYSICS DIVISION', 'NAVRANGPURA', 'AHMEDABAD 380009', 'Gujarat', 'India']"
Motoki NAKAJIMA,"['Nihon University', 'School of Dentistry at Matsudo', '2-870-1 Sakae-cho Nishi, Matsudo-shi', 'Chiba 271-8587', 'Kanto', 'Japan']"
Valerio Nascimbeni,"['Istituto Nazionale di Astrofisica (INAF)', 'Osservatorio Astronomico di Padova', 'Osservatorio Astronomico di Padova', ""Vicolo dell'Osservatorio, 5"", '35122 Padova', 'Italy']"
Magnus Näslund,"['Stockholm University', 'Department of Astronomy', 'Albanova University Center', 'SE-106 91 Stockholm', 'Sweden']"
Lorenzo Natalucci,"['INAF', 'Istituto di Astrofisica e Planetologia Spaziali', 'Via del Fosso del Cavaliere, 100', '00133 Roma', 'Italy']"
Harold Nations,"['College of Southern Nevada', 'Physical Sciences', '6375 W. Charleston', 'W30H', 'Las Vegas 89145', 'Nevada (NV)', 'United States']"
Rafael Navarro-González,"['Universidad Nacional Autonoma de Mexico', 'Institito de Ciencias Nucleares', 'Lab. Quimica de Plasmas y Estudios Planetarios', 'Circuito Exterior, Ciudad Universitaria', 'Mexico City A. Postal 70-543', 'Mexico']"
Susan Nelmes,"['United Kingdom Hydrographic Office', 'HM Nautical Almanac Office', 'Admiralty Way', 'Taunton TA1 2DN', 'Somerset', 'United Kingdom']"
Lorne A. Nelson,"['Bishop’s University', 'Physics Department', '2600 College', 'Sherbrooke J1M1Z7', 'Quebec (QC)', 'Canada']"
Jan-Uwe Ness,"['European Space Agency', 'European Space Astronomy Centre', 'XMM-Newton Observatory SOC', 'Apartado 78', '28691 Villanueva de la Canada', 'Spain']"
Thao Thi Nguyễn,"['Vietnam national satellite center', 'Department Of Astrophysics', '18 Hoang Quoc Viet, Cau Giay, Hanoi, Vietnam', '179 Hoang Quoc Viet, Cau Giay, Hanoi, Vietnam', '10000 Ha Noi', 'Vietnam']"
Aleksandra M. Nina,"['University of Belgrade', 'Institute of Physics', 'Pregrevica 118', '11080 Belgrade', 'Serbia, Republic of']"
Nobuya NISHIMURA,"['Riken', 'Astrophysical Big Bang Laboratory', '2-1 Hirosawa', 'Wako 351-0198', 'Kanto', 'Japan']"
Nariaki V Nitta,"['Lockheed Martin Solar and Astrophysics Laboratory', 'A021S', '3251 Hanover Street, Building 252', 'Palo Alto 94304', 'California (CA)', 'United States']"
Masayoshi NOBUKAWA,"['Kyoto University', 'Hakubi center for advanced research', 'Yoshida-Ushinomiya-cho, Sakyo-ku', 'Kyoto 606-8501', 'Kinki', 'Japan']"
Manabu NODA,"['Nagoya City Science Museum', 'Astronomy Section', '2-17-1 Sakae, Naka-ku, Nagoya-shi', 'Aichi 460-0008', 'Chubu', 'Japan']"
Magdalen Normandeau,"['University of New Brunswick', 'Physics department', '8  Bailey Drive', 'Fredericton E3B 5A3', 'New Brunswick (NB)', 'Canada']"
Aimee A. Norton,"['Stanford University', 'HEPL Solar Physics', '452 Lomita Mall', 'Stanford University', 'Stanford 94305-4085', 'California (CA)', 'United States']"
Mohamed Nouh,"['NRIAG', 'Astronomy', 'National research Institute of Astronomy and Geophysics , 11421 Helwan, Cairo, Egypt', 'Cairo 143', 'Egypt']"
Takaya NOZAWA,"['National Astronomical Observatory of Japan', 'Division of Theoretical Astronomy', '2-21-1 Osawa, Mitaka-shi', 'Tokyo 181-8588', 'Kanto', 'Japan']"
Peter E Nugent,"['LBNL', 'Computational Cosmology Center', 'MS 50B-4206', '1 Cyclotron Rd', 'Berkeley 94720-8139', 'California (CA)', 'United States']"
Nelson J. Nunes,"['Institute of Astronomy and Space Sciences', 'Physics Department', 'Faculty of Sciences, University of Lisbon', 'Edificio C8, Campo Grande', '1749-016 Lisbon', 'Portugal']"
Luis A Núñez,"['Universidad Industrial de Santander', 'Escuela de Física', 'Carrera 27 / Calle 9', 'Bucaramanga', 'Colombia']"
Ramona Núñez-López,"['Universidad de Sonora', 'Departamento de Física, Matemáticas e Ingeniería', 'Av. Universidad e Irigoyen', 'Caborca 83621', 'Mexico']"
William Joseph O'Mullane,"['--', 'Spain']"
Shane P O'Sullivan,"['Sydney Institute of Astronomy', 'School of Physics', '44 Rosehill St', 'Redfern 2016', 'New South Wales (NSW)', 'Australia']"
Karin I Oberg,"['Harvard-Smithsonian Center for Astrophysics', '60 Garden St', 'MS 16', 'Cambridge 02138', 'Massachusetts (MA)', 'United States']"
Divya Oberoi,"['National Centre for Radio Astrophysics', 'Tata Institute of Fundamental Reserarch', 'Pune University Campus', 'Ganeshkhind', 'Pune 411007', 'Maharashtra', 'India']"
Jürgen Oberst,"['German Aerospace Center', 'Institute of Planetary Research', 'Rutherfordstrasse 2', '12489 Berlin', 'Germany']"
Danail Obreschkow,"['University of Western Australia', 'International Centre for Radio Astronomy Research', 'M468, 35 Stirling Hwy', 'Crawley Perth 6009', 'Western Australia (WA)', 'Australia']"
Pascal A Oesch,"['University of Geneva', 'Department of Astronomy', 'Chemin des Maillettes 51', '1290 Versoix', 'Switzerland']"
Sang Hoon OH,"['National Institute for Mathematical Sciences', 'Division of Computational Sciences in Mathematics', '70, Yuseong-daero 1689 beon-gil, Yuseong-gu', 'Daejeon 305-811', 'Korea, Rep of']"
Sakurako OKAMOTO,"['National Astronomical Observatory of Japan', 'Division of Optical and Infrared Astronomy', '2-21-1, Osawa, Mitaka', 'Tokyo 1818588', 'Kanto', 'Japan']"
Mary Elizabeth Oksala,"['California Lutheran University', 'Department of Physics', '60 W. Olsen Road, #3700', 'Thousand Oaks 91360', 'California (CA)', 'United States']"
Lorenzo Olguín,"['Universidad de Sonora', 'Departamento de Investigación en Física', 'BLvd. Luis Encinas y Rosales S/N', 'Hermosillo 83000', 'Mexico']"
Nancy A. Oliversen,"['United States Naval Observatory', 'Astronomical Applications Department', '3450 Massachusetts Ave, N. W.', 'Washington 20392-5410', 'D.C.', 'United States']"
Dusan Onic,"['Faculty of Mathematics, University of Belgrade', 'Department of Astronomy', 'Studentski trg 16', '11000 Belgrade', 'Serbia, Republic of']"
Ivana Orlitová,"['Astronomical Institute AS CR', 'Galaxies and Planetary Systems', 'Boční II 1401', '14100 Prague', 'Czech Republic']"
Roberto Orosei,"['Istituto Nazionale di Astrofisica', 'Istituto di Radioastronomia', 'Via Piero Gobetti, 101', '40129 Bologna', 'Italy']"
Alvaro Antonino Orsi Moyano,"['Centro de Estudios de Fisica del Cosmos de Aragon', 'Plaza San Juan 1', 'Piso 2', '44001 Teruel', 'Spain']"
Mayra Osorio,"['Instituto de Astrofisica de Andalucia (CSIC)', 'Glorieta de la Astronomia s/n', 'E-18008 Granada', 'Spain']"
Roderik A. Overzier,"['Observatório Nacional/MCTIC', 'COPAA', 'Rua General José Cristino, 77', 'Rio de Janeiro 20921-400', 'Rio de Janeiro (RJ)', 'Brazil']"
Ashraf H Owis,"['Cairo University', 'Astronomy, Space and Meteorology', 'Astronomy, Space and Meteorology Department', 'Cairo University St.', 'Giza 12613', 'Egypt']"
Mehmet Emin Özel,"['ISIK Univ. Sağlık Meslek Yüksek Okulu', 'Dept of Medical Imaging Systems', 'Büyükdere Cad', 'Maslak', 'Şişli ISTANBUL', 'Turkey']"
Ana Maria Pacheco,"['Observatorio Astronomico Felix Aguilar', 'San Juan', 'Calle Benavidez 8175', 'Calle Guemes', 'Chimbas 5413', 'San Juan', 'Argentina']"
Leonardo A. Pachon,"['Universidad de Antioquia', 'Institute of Physics', 'Calle 70 No. 52-21', 'Medellin', 'Colombia']"
Nelson D Padilla,"['Pontificia Universidad Catolica de Chile', 'Instituto de Astrofísica', 'Campus San Joaquin', 'Vicuna Mackenna 4860', 'Santiago', 'Chile']"
Marco Padovani,"['INAF-Osservatorio Astrofisico di Arcetri', 'Largo E. Fermi, 5', '50125 Firenze', 'Italy']"
Archana Arun Pai,"['IIT Bombay', 'Physics', 'IIT Bombay, Powai', 'Mumbai', 'Mumbai 400076', 'Maharashtra', 'India']"
Claudia Paladini,"['ESO — European Southern Observatory', 'Directorate of Science Operations', 'Alonso de Córdova 3107', 'Vitacura', 'Chile']"
Scott E Palo,"['University of Colorado', 'Aerospace Engineering Sciences', 'University of Colorado', 'Department of Aerospace Engineering', 'Boulder 80309', 'Colorado (CO)', 'United States']"
Ernesto Palomba,"['INAF (National Institute of Astrophysics)', 'Institute for Space Astrophysics and Planetology', 'IAPS-INAF', 'Via Fosso del Cavaliere 100', '00133 Roma', 'Italy']"
Elena Pancino,"['INAF (Istituto Nazionale di AstroFisica)', 'Osservatorio Astrofisico di Arcetri', 'Largo Enrico Fermi 5', '50125 Firenze', 'Italy']"
Shashi Bhushan Pandey,"['ARIES', 'Astronomy and astrophysics devision', 'Manora Peak, Nainital', 'Uttarakahnd', 'Naintial 263002', 'Uttaranchal', 'India']"
Jeewan Chandra Pandey,"['ARIES', 'Manora Peak', 'Nainital 263001', 'Uttaranchal', 'India']"
Maurizio Paolillo,"['Università di Napoli Federico II', 'Dipartimento di Fisica', 'C.U. Monte S.Angelo', 'via Cintia', '80126 Napoli', 'Italy']"
